backpack:		[[(12, 9), (11, 10), (10, 11), (9, 12), (8, 13), (7, 14), (6, 15), (5, 16)]]
bell:		[[(1, 13), (2, 14), (3, 15), (4, 16)], [(4, 16), (3, 15), (2, 14), (1, 13)]]
books:		[[(2, 7), (2, 8), (2, 9), (2, 10), (2, 11)]]
chalk:		[[(14, 11), (14, 12), (14, 13), (14, 14), (14, 15)]]
chorus:		[[(6, 10), (6, 11), (6, 12), (6, 13), (6, 14), (6, 15)]]
class:		[[(14, 4), (14, 5), (14, 6), (14, 7), (14, 8)], [(16, 4), (15, 5), (14, 6), (13, 7), (12, 8)], [(12, 8), (13, 7), (14, 6), (15, 5), (16, 4)]]
classroom:		[[(16, 4), (15, 5), (14, 6), (13, 7), (12, 8), (11, 9), (10, 10), (9, 11), (8, 12)]]
clubs:		[[(3, 4), (4, 5), (5, 6), (6, 7), (7, 8)], [(7, 8), (6, 7), (5, 6), (4, 5), (3, 4)]]
coach:		[[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1)]]
computer:		[[(3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (10, 11)]]
crayons:		[[(7, 9), (8, 10), (9, 11), (10, 12), (11, 13), (12, 14), (13, 15)], [(13, 15), (12, 14), (11, 13), (10, 12), (9, 11), (8, 10), (7, 9)]]
desk:		[[(1, 4), (2, 5), (3, 6), (4, 7)], [(4, 7), (3, 6), (2, 5), (1, 4)]]
detention:		[[(13, 1), (12, 2), (11, 3), (10, 4), (9, 5), (8, 6), (7, 7), (6, 8), (5, 9)]]
drama:		[[(5, 2), (6, 3), (7, 4), (8, 5), (9, 6)], [(9, 6), (8, 5), (7, 4), (6, 3), (5, 2)]]
english:		[[(15, 8), (14, 9), (13, 10), (12, 11), (11, 12), (10, 13), (9, 14)]]
eraser:		[[(8, 14), (9, 14), (10, 14), (11, 14), (12, 14), (13, 14)]]
field trip:		[[(4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3)]]
friends:		[[(9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]]
geography:		[[(7, 5), (8, 6), (9, 7), (10, 8), (11, 9), (12, 10), (13, 11), (14, 12), (15, 13)], [(15, 13), (14, 12), (13, 11), (12, 10), (11, 9), (10, 8), (9, 7), (8, 6), (7, 5)]]
glue:		[[(2, 2), (2, 3), (2, 4), (2, 5)]]
grade:		[[(2, 2), (3, 2), (4, 2), (5, 2), (6, 2)]]
hall pass:		[[(7, 8), (7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (7, 14), (7, 15)]]
history:		[[(13, 3), (13, 4), (13, 5), (13, 6), (13, 7), (13, 8), (13, 9)]]
homeroom:		[[(3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (3, 12), (3, 13), (3, 14)]]
homework:		[[(5, 16), (6, 16), (7, 16), (8, 16), (9, 16), (10, 16), (11, 16), (12, 16)]]
laboratory:		[[(4, 4), (5, 5), (6, 6), (7, 7), (8, 8), (9, 9), (10, 10), (11, 11), (12, 12), (13, 13)], [(13, 13), (12, 12), (11, 11), (10, 10), (9, 9), (8, 8), (7, 7), (6, 6), (5, 5), (4, 4)]]
library:		[[(14, 3), (13, 4), (12, 5), (11, 6), (10, 7), (9, 8), (8, 9)], [(8, 9), (9, 8), (10, 7), (11, 6), (12, 5), (13, 4), (14, 3)]]
locker:		[[(11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15)]]
lunch box:		[[(3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15)]]
maths:		[[(1, 6), (1, 7), (1, 8), (1, 9), (1, 10)]]
morning:		[[(7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2)]]
music:		[[(12, 7), (13, 8), (14, 9), (15, 10), (16, 11)], [(16, 11), (15, 10), (14, 9), (13, 8), (12, 7)]]
notebook:		[[(4, 7), (4, 8), (4, 9), (4, 10), (4, 11), (4, 12), (4, 13), (4, 14)]]
office:		[[(16, 3), (16, 4), (16, 5), (16, 6), (16, 7), (16, 8)]]
paints:		[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4)]]
principal:		[[(4, 3), (5, 4), (6, 5), (7, 6), (8, 7), (9, 8), (10, 9), (11, 10), (12, 11)], [(12, 11), (11, 10), (10, 9), (9, 8), (8, 7), (7, 6), (6, 5), (5, 4), (4, 3)]]
